"keys","en"
"  %s（聚合/比例）","  %s (cluster/ratio)"
"%.1f 分","%.1f min"
"%.2f 小时","%.2f hr"
"%d 处未确认","%d pending change(s)"
"%d 秒","%d sec"
"0 = 每局随机；非 0 = 每局同一张图（复现 bug 用）。","0 = random each run; non-0 = same map every run (bug repro)."
"1. 在 Data/language/translations.csv 加一列（表头写语言代码）；2. 在 Data/config.json 的 language.available 登记 code / name，ready 设为 true。","1. Add a column to Data/language/translations.csv (header = locale code); 2. register the code / name under language.available in Data/config.json and set ready to true."
"128 格 = 8192 像素见方。","128 cells = 8192 px square."
"AI 开销（每帧读取 · 即时生效）","AI Cost (read every frame · instant)"
"HD 手绘","HD hand-drawn"
"WASD 与边缘滚屏共用的速度基准（像素/秒）。下次进局生效。","Base speed shared by WASD and edge panning (px/sec). Applies next run."
"— 空槽 —","— Empty —"
"一键静音，不改上面三个滑块的值。","One-click mute without touching the sliders above."
"一键预设（只写用户层，可随时用「恢复均衡」或底部「恢复默认」撤销）","One-click Preset (writes the user layer only; undo anytime via Clear Preset or Restore Defaults)"
"上次游玩：%s","Last played: %s"
"上次游玩：%s · %s","Last played: %s · %s"
"不缩放（1:1）","None (1:1)"
"不限","Uncapped"
"不限（默认）","Uncapped (default)"
"中立生物数量","Neutral Animals"
"主音量","Master Volume"
"亮度","Brightness"
"仅「窗口化」模式下生效。","Only applies in Windowed mode."
"以下界面均为占位 —— 入口先占住，内容后续补","All pages below are placeholders — entries reserved, content comes later"
"以光标为锚点缩放","Zoom Toward Cursor"
"低于这个连通率就换种子重新生成整张图。","Below this connectivity the map regenerates with a new seed."
"你有 %d 处改动还没点「确认应用」。
返回会丢弃这些改动。确定返回？","You have %d change(s) not applied yet.
Going back discards them. Quit anyway?"
"例如「首次撤离」「一局带回 100 木头」「不受伤撤离」「击杀 500 个敌人」。需要一张成就表（Data/achievements.json）+ 事件钩子（撤离、拾取、击杀、受伤）。","e.g. ""First Extraction"", ""Bank 100 wood in one run"", ""Extract unharmed"", ""Kill 500 enemies"". Needs an achievement table (Data/achievements.json) + event hooks (extract, loot, kill, hurt)."
"保留黑边","Keep (black bars)"
"像素/秒。","Pixels per second."
"像素/秒；追击时还会乘倍率。","Pixels/sec; multiplied while chasing."
"全屏","Fullscreen"
"关掉后树石不再挡路（排查「卡住」时用来二分）。","Trees/rocks stop blocking movement (for bisecting ""stuck"" reports)."
"关掉后每棵树 / 石少画一个投影 Sprite2D，装饰密的地图能明显减负（默认开）。","Removes one shadow sprite per tree/rock; a clear win on dense maps (default on)."
"关闭","Off"
"关闭（返回菜单）","Close (back to menu)"
"其他","More"
"决定攻击方式与动作：剑士 = 原来的扇形挥击（战士贴图）；枪手 = 长枪突刺（枪兵 8 向贴图，射程更长）；弓 = 判定帧发射箭矢（会飞、撞墙消失、命中结算），并且强制使用弓兵贴图集。下次进局生效。","Attack style & animation: Swordsman = the original arc swing (warrior sprites); Lancer = spear thrust (8-dir lancer sprites, longer reach); Bow = fires real arrows on the hit frame (they fly, break on walls, resolve hits) and forces the archer sprites. Applies next run."
"分辨率","Resolution"
"切换已接线：TranslationServer.set_locale；翻译表在 Data/language/translations.csv。","Wired up: TranslationServer.set_locale; table at Data/language/translations.csv."
"创建并进入","Create & Enter"
"创建：%s","Created: %s"
"删除","Delete"
"删除存档","Delete Save"
"制作人员","Credits"
"制作人员 / 统计 / 成就 / 图鉴（占位）","Credits / Stats / Achievements / Codex (placeholder)"
"刷日志，排查 AI/动画问题时开。","Verbose logging; enable when debugging AI / animation."
"剑士 单向","Swordsman single-dir"
"剑士（剑·近战）","Swordsman (sword · melee)"
"剑等近战武器的单次伤害。已按武器拆开 —— 原来那个全局的 combat.attack.damage 现在只是「武器表没写时才用」的兜底值，改它不再生效。","Per-hit damage for melee weapons. Split per weapon now — the old global combat.attack.damage is only a fallback when the weapon table is missing; changing it no longer does anything."
"动作","Actions"
"占位 · 尚未实现","Placeholder · not implemented"
"占屏幕高度的比例，默认 20%（= 最下面 1/5）。小地图边长随栏高自适应，HUD 的背包/血量/生存三行也会跟着让位。","Share of screen height, default 20% (bottom fifth). The minimap adapts; the HUD's bag/HP/survival rows shift up to make room."
"历史存档","Load Save"
"参数配置","Settings"
"取消","Cancel"
"只有「枪手」有真正的 8 向素材：待机/受击按朝向播不同帧，攻击也按朝向出招；其余四套是单向或仅四向，斜向与朝向差异会自动回退。画布参数（缩放/脚底偏移）已随贴图集自动切换，不用手调。当前武器是「弓」时本项无效（弓锁定弓手贴图）。下次进局生效。","Only ""Lancer"" has true 8-dir sprites: idle/hit play per facing and attacks face the target; the other four sets are single or 4-dir with auto-fallback on diagonals. Canvas params (scale / foot offset) switch with the set — no manual tuning. Ignored when the weapon is ""Bow"" (bow locks the archer sprites). Applies next run."
"启用边缘滚屏","Enable Edge Panning"
"命名存档","Name Save"
"四个群系按这里的权重瓜分地图面积（相对值，不用归一；越大越占地方）。下次生成地图生效。","The four biomes split the map area by these relative weights (no need to normalize). Applies on map regen."
"固定种子","Fixed Seed"
"图鉴","Codex"
"在每个 weight>0 的群系各放这么多簇。调大=该资源更多。","This many clusters per biome with weight>0. Higher = more of the resource."
"地上可拾取资源点的占比。调高会明显增加地图负担。","Share of ground loot nodes. Higher = noticeably heavier map."
"地图宽（格）","Map Width (cells)"
"地图生成","Map Generation"
"地图生成开销（下次生成地图生效）","Map Gen Cost (applies on regen)"
"地图资源成簇（树/石/铁/油）","Resource Clusters (tree/rock/iron/oil)"
"群系边界混合","Biome Border Blend"
"地图高（格）","Map Height (cells)"
"地形出现比例（面积∝此值）","Biome Weights (area ∝ value)"
"地表裂缝","Ground Cracks"
"垂直同步","V-Sync"
"基础生命","Base HP"
"基础生命上限","Base Max HP"
"基础速度","Base Speed"
"多露出画面","Expand"
"如何新增语言","How to Add a Language"
"宏观明暗层","Macro Light Layer"
"实际生命上限还要加上局外养成（雕像升级）。","Real max HP adds meta upgrades (statue levels)."
"宽高比策略","Aspect Ratio"
"对比度","Contrast"
"将清空 user://settings.json 里全部自定义项，
所有参数回到 Data/config.json 的出厂值。确定吗？","This clears ALL custom entries in user://settings.json;
every parameter returns to the factory values in Data/config.json. Continue?"
"尚无存档","No saves yet"
"局内时长","Run Time Limit"
"局内时间流速","In-run Time Scale"
"局内最下面 1/5 那条栏：左 = 小地图（常驻）、中 = 选中单位的指令、右 = 噪音读数（当前/累积/被惊动数）。关掉后小地图与指令入口都不显示 —— 自动战斗照常跑，只是没有手动指令（指定攻击 / 巡逻 / 索敌策略）。","The bottom 1/5 bar in-run: left = minimap (always), middle = commands for the selected units, right = noise readout (current / accumulated / alerted). Off hides the minimap and command entries — auto combat keeps running, just without manual orders (attack / patrol / targeting)."
"局内界面（下次进局生效）","In-run UI (applies next run)"
"局内节奏","Run Pacing"
"已见过的敌人兵种 / 中立生物 / 资源 / 地形群系，附名称与说明。配置里其实已经齐了：enemy_types.types、animal_types.types、resources.*、map.biomes 都有 name 字段。","Enemies / animals / resources / biomes you've seen, with names & blurbs. The config already has the data: enemy_types.types, animal_types.types, resources.*, map.biomes all carry name fields."
"帧率上限","FPS Cap"
"应用 · 降配流畅","Apply · Low Specs"
"底部菜单栏","Bottom Menu Bar"
"开一个新的存档槽，从头开始","Start fresh in a new save slot"
"开发版","Dev Build"
"开启","On"
"开启后角色自动索敌开打：只打「观察视野 ∩ 攻击距离」内的敌人，够不着的不追、原地不动；关掉则完全不开火（只能靠走位）。","When on, the character auto-targets: only engages enemies inside ""vision ∩ attack range"" — never chases, holds position; off = never fires (movement only)."
